cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
0,2024-03-24T09:08:02.739Z,45.1366405,10.8013126,8.429884231488835,0.072,0.04,3,151
55.611111111111114,2024-03-24T09:08:02.794Z,45.1366405,10.8013127,8.429884231488835,0.058,0.07,3,151
111.22222222222223,2024-03-24T09:08:02.849Z,45.1366406,10.8013128,8.432884231488835,0.092,0.06,3,151
166.83333333333334,2024-03-24T09:08:02.904Z,45.1366405,10.8013128,8.430884231488832,0.075,0.09,3,151
222.44444444444446,2024-03-24T09:08:02.959Z,45.1366405,10.8013127,8.436884231488833,0.064,0.07,3,151
278.05555555555554,2024-03-24T09:08:03.014Z,45.1366406,10.8013127,8.450884231488835,0.136,0.06,3,151
333.66666666666663,2024-03-24T09:08:03.069Z,45.1366406,10.8013126,8.464884231488838,0.132,0.14,3,151
389.2777777777777,2024-03-24T09:08:03.124Z,45.1366406,10.8013126,8.458884231488838,0.123,0.13,3,151
444.8888888888888,2024-03-24T09:08:03.179Z,45.1366405,10.8013124,8.448884231488833,0.109,0.12,3,151
500.4999999999999,2024-03-24T09:08:03.234Z,45.1366405,10.8013125,8.468884231488836,0.02,0.11,3,151
556.111111111111,2024-03-24T09:08:03.289Z,45.1366403,10.8013126,8.507884231488838,0.152,0.03,3,151
611.7222222222221,2024-03-24T09:08:03.344Z,45.1366401,10.8013125,8.511884231488835,0.215,0.16,3,151
667.3333333333331,2024-03-24T09:08:03.399Z,45.13664,10.8013125,8.485884231488832,0.142,0.22,3,151
722.9444444444442,2024-03-24T09:08:03.454Z,45.1366397,10.8013123,8.484884231488834,0.285,0.14,3,151
778.5555555555553,2024-03-24T09:08:03.509Z,45.1366396,10.8013122,8.488884231488832,0.314,0.29,3,151
834.1666666666664,2024-03-24T09:08:03.564Z,45.1366395,10.801312,8.490884231488835,0.29,0.31,3,151
889.7777777777775,2024-03-24T09:08:03.619Z,45.1366394,10.8013119,8.486884231488837,0.285,0.29,3,151
945.3888888888886,2024-03-24T09:08:03.674Z,45.1366392,10.8013119,8.468884231488836,0.257,0.29,3,151
1001,2024-03-24T09:08:03.729Z,45.1366392,10.8013118,8.476884231488832,0.218,0.26,3,151
1056.611111111111,2024-03-24T09:08:03.784Z,45.1366391,10.8013117,8.490884231488835,0.23,0.22,3,151
1112.2222222222222,2024-03-24T09:08:03.839Z,45.1366391,10.8013116,8.500884231488833,0.177,0.23,3,151
1167.8333333333333,2024-03-24T09:08:03.894Z,45.136639,10.8013117,8.487884231488835,0.177,0.18,3,151
1223.4444444444443,2024-03-24T09:08:03.949Z,45.1366391,10.8013117,8.495884231488837,0.058,0.18,3,151
1279.0555555555554,2024-03-24T09:08:04.004Z,45.1366391,10.8013117,8.489884231488837,0.062,0.06,3,151
1334.6666666666665,2024-03-24T09:08:04.059Z,45.136639,10.8013118,8.494884231488832,0.06,0.06,3,151
1390.2777777777776,2024-03-24T09:08:04.114Z,45.136639,10.8013117,8.512884231488833,0.053,0.06,3,151
1445.8888888888887,2024-03-24T09:08:04.169Z,45.136639,10.8013118,8.507884231488838,0.058,0.05,3,151
1501.4999999999998,2024-03-24T09:08:04.224Z,45.1366391,10.8013118,8.500884231488833,0.038,0.06,3,151
1557.1111111111109,2024-03-24T09:08:04.279Z,45.1366391,10.8013118,8.494884231488832,0.044,0.04,3,151
1612.722222222222,2024-03-24T09:08:04.334Z,45.1366391,10.8013119,8.503884231488833,0.059,0.04,3,151
1668.333333333333,2024-03-24T09:08:04.389Z,45.1366391,10.8013119,8.510884231488838,0.031,0.06,3,151
1723.9444444444441,2024-03-24T09:08:04.444Z,45.136639,10.8013121,8.491884231488832,0.111,0.03,3,151
1779.5555555555552,2024-03-24T09:08:04.499Z,45.1366389,10.8013119,8.516884231488838,0.037,0.11,3,151
1835.1666666666663,2024-03-24T09:08:04.554Z,45.1366389,10.8013118,8.527884231488834,0.064,0.04,3,151
1890.7777777777774,2024-03-24T09:08:04.609Z,45.1366388,10.8013119,8.510884231488838,0.06,0.07,3,151
1946.3888888888885,2024-03-24T09:08:04.664Z,45.1366391,10.8013122,8.504884231488838,0.139,0.06,3,151
2002,2024-03-24T09:08:04.719Z,45.136639,10.8013123,8.487884231488835,0.12,0.14,3,151
2054.684210526316,2024-03-24T09:08:04.774Z,45.1366388,10.8013122,8.501884231488837,0.029,0.12,3,151
2107.3684210526317,2024-03-24T09:08:04.829Z,45.1366387,10.8013121,8.535884231488836,0.103,0.03,3,151
2160.0526315789475,2024-03-24T09:08:04.884Z,45.1366388,10.8013122,8.525884231488838,0.023,0.11,3,151
2212.7368421052633,2024-03-24T09:08:04.939Z,45.1366389,10.8013123,8.552884231488832,0.053,0.03,3,151
2265.421052631579,2024-03-24T09:08:04.994Z,45.1366393,10.8013125,8.529884231488836,0.211,0.06,3,151
2318.105263157895,2024-03-24T09:08:05.049Z,45.1366393,10.8013124,8.571884231488838,0.127,0.21,3,151
2370.789473684211,2024-03-24T09:08:05.104Z,45.1366392,10.8013124,8.593884231488836,0.097,0.13,3,151
2423.4736842105267,2024-03-24T09:08:05.159Z,45.1366391,10.8013124,8.593884231488836,0.025,0.11,3,151
2476.1578947368425,2024-03-24T09:08:05.214Z,45.1366392,10.8013122,8.578884231488836,0.15,0.05,3,151
2528.8421052631584,2024-03-24T09:08:05.269Z,45.1366391,10.8013121,8.598884231488832,0.153,0.15,3,151
2581.526315789474,2024-03-24T09:08:05.324Z,45.1366393,10.8013121,8.619884231488832,0.126,0.16,3,151
2634.21052631579,2024-03-24T09:08:05.379Z,45.1366393,10.8013117,8.635884231488838,0.3,0.13,3,151
2686.894736842106,2024-03-24T09:08:05.434Z,45.1366398,10.801312,8.661884231488834,0.233,0.3,3,151
2739.5789473684217,2024-03-24T09:08:05.489Z,45.1366398,10.8013118,8.664884231488834,0.228,0.24,3,151
2792.2631578947376,2024-03-24T09:08:05.544Z,45.1366397,10.8013117,8.690884231488837,0.121,0.23,3,151
2844.9473684210534,2024-03-24T09:08:05.599Z,45.1366396,10.8013117,8.705884231488838,0.088,0.14,3,151
2897.6315789473692,2024-03-24T09:08:05.654Z,45.1366396,10.8013116,8.716884231488834,0.069,0.12,3,151
2950.315789473685,2024-03-24T09:08:05.709Z,45.1366396,10.8013118,8.696884231488838,0.042,0.11,3,151
3003,2024-03-24T09:08:05.764Z,45.1366395,10.8013118,8.700884231488835,0.074,0.08,3,148
3061.8823529411766,2024-03-24T09:08:05.819Z,45.1366394,10.801312,8.679884231488835,0.126,0.1,3,148
3120.764705882353,2024-03-24T09:08:05.874Z,45.1366393,10.801312,8.672884231488837,0.153,0.14,3,148
3179.6470588235297,2024-03-24T09:08:05.929Z,45.1366391,10.801312,8.693884231488838,0.219,0.16,3,148
3238.5294117647063,2024-03-24T09:08:05.984Z,45.1366391,10.8013121,8.684884231488837,0.188,0.22,3,148
3297.411764705883,2024-03-24T09:08:06.039Z,45.1366391,10.8013122,8.657884231488836,0.172,0.19,3,148
